2025-12-24 08:50:27.214 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;01010131
2025-12-24 08:52:01.777 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005E083401180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000F8

2025-12-24 08:52:02.783 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005F083402180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400007C

2025-12-24 08:52:03.787 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000060083403180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000AA

2025-12-24 08:52:05.092 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000061083404180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400005D

2025-12-24 08:52:06.099 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000062083405180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000060

2025-12-24 08:52:07.105 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000063083406180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000067

2025-12-24 08:52:07.910 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000064083407180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000F8

2025-12-24 08:52:08.916 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000065083408180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000085

2025-12-24 08:52:09.920 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000066083409180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000B8

2025-12-24 08:52:10.926 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000006708340A180C190000000400000000000000CB00E3010800000000000000000193018F018B0000000000DB00DB000000000000000000000000060101040000FF

2025-12-24 08:52:11.629 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000006808340B180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000086

2025-12-24 08:52:12.635 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000006908340C180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000B5

2025-12-24 08:52:14.144 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000006A08340D180C190000000400000000000000CB00E30108000000000000000001930190018B0000000000DB00DB000000000000000000000000060101040000C8

2025-12-24 08:52:14.950 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000006B08340E180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000016

